index,original word,new word
469,min,
470,kuasa,
471,dpt,
472,kaga,
473,bodoh,
474,mba,
475,ndak,
476,khawatir,
477,km,
478,situ,
479,y,
480,loe,
481,layan,
482,dm,
483,daftar,
484,luka,
485,balas,
486,batas,
487,hak,
488,gaada,
489,acara,
490,maksud,
491,kecewa,
492,ni,
493,kampus,
494,kaki,
495,bunuh,
496,tindak,
497,ganteng,
498,oke,
499,pribadi,
500,dll,
501,tsb,
502,antri,
503,hujan,
504,dosa,
505,grup,
506,drama,
507,amp,
508,status,
509,damai,
510,kmrn,
511,wkwkwk,
512,ilmu,
513,trauma,
514,pegang,
515,berita,
516,erti,
517,dokter,
518,peduli,
519,tulus,
520,tol,
521,manis,
522,lho,
523,macem,
524,aman,
525,sepi,
526,engkau,
527,mandi,
528,kaget,
529,masak,
530,senang,
531,berkah,
532,lemah,
533,cipta,
534,maha,
535,lgsg,
536,ramadhan,
537,daerah,
538,yaudah,
539,bla,
540,jabat,
541,gilir,
542,macet,
543,heran,
544,adek,
545,ruang,
546,for,
547,bangga,
548,umat,
549,kopi,
550,wajah,
551,sesuai,
552,gubernur,
553,abang,
554,tiket,
555,sekian,
556,kawan,
557,deg,
558,pisah,
559,hebat,
560,bahas,
561,ko,
562,pancasila,
563,sholat,
564,al,
565,janji,
566,ganggu,
567,capek,
568,kampung,
569,tertawa,
570,ayah,
571,oldmoneygakngerasain,
572,rela,
573,dek,
574,on,
575,saudara,
576,smp,
577,anjir,
578,korupsi,
579,kakak,
580,polisi,
581,contoh,
582,bank,
583,sikap,
584,kuota,
585,cek,
586,plastik,
587,panas,
588,tolak,
589,nyanyi,
590,seru,
591,telat,
592,kasihan,
593,koruptor,
594,td,
595,mesti,
596,ribu,
597,jarang,
598,bahasa,
599,aing,
600,pindah,
601,wajar,
602,bu,
603,pasar,
604,teriak,
605,harassment,
606,musik,
607,bro,
608,jogja,
609,goda,
610,huhu,
611,didik,
612,guru,
613,kyk,
614,sbg,
615,nyinyir,
616,speak,
617,capai,
618,dengerin,
619,rmh,
620,lapor,
621,maju,
622,panggil,
623,darah,
624,is,
625,izin,
626,yak,
627,tim,
628,rambut,
629,b,
630,ttg,
631,pintu,
632,time,
633,emak,
634,wajib,
635,lebay,
636,h,
637,media,
638,komen,
639,hadir,
640,program,
641,tanggung,
642,instagram,
643,bahaya,
644,data,
645,kudu,
646,ma,
647,efek,
648,k,
649,kosong,
650,jari,
651,duluan,
652,sempet,
653,serah,
654,lampu,
655,ibadah,
656,skripsi,
657,bal,
658,tanah,
659,rajin,
660,pesan,
661,barusan,
662,detik,
663,jelek,
664,slalu,
665,buang,
666,sengaja,
667,mulut,
668,demen,
669,thr,
670,kaum,
671,bau,
672,amin,
673,zaman,
674,parkir,
675,duh,
676,lengkap,
677,surga,
678,hmm,
679,setia,
680,tatap,
681,males,
682,cium,
683,sisi,
684,rupa,
685,fokus,
686,merinding,
687,lari,
688,jadwal,
689,betapa,
690,mo,
691,rencana,
692,nunggu,
693,olah,
694,perut,
695,bong,
696,kpd,
697,masjid,
698,fitnah,
699,sifat,
700,tipu,
701,jemput,
702,sang,
703,be,
704,cocok,
705,bakar,
706,alami,
707,all,
708,kelar,
709,solusi,
710,tukang,
711,tolol,
712,bola,
713,this,
714,rezeki,
715,tarik,
716,stiap,
717,samping,
718,lelah,
719,cemburu,
720,salam,
721,cc,
722,sempurna,
723,tangga,
724,bebas,
725,kondisi,
726,bohong,
727,medsos,
728,mudik,
729,birthday,
730,kabur,
731,posisi,
732,ngasih,
733,ttp,
734,pinter,
735,merah,
736,kesini,
737,pusing,
738,hapus,
739,meni,
740,tanda,
741,allaah,
742,tani,
743,bandung,
744,gojek,
745,bukber,
746,we,
747,belanja,
748,gegara,
749,dn,
750,seram,
751,juli,
752,askmf,
753,curhat,
754,ngatain,
755,jago,
756,anjing,
757,tuk,
758,pasien,
759,sembuh,
760,hancur,
761,sepupu,
762,fisik,
763,info,
764,wkwkw,
765,goblok,
766,telpon,
767,aamiin,
768,juta,
769,kelompok,
770,byk,
771,ngakak,
772,ayam,
773,nyampe,
774,skrng,
775,gampang,
776,make,
777,romantis,
778,putih,
779,kagum,
780,gambar,
781,sosial,
782,buru,
783,gereja,
784,mamah,
785,jurus,
786,saran,
787,at,
788,tbtb,
789,gausah,
790,much,
791,guys,
792,terang,
793,p,
794,gub,
795,thread,
796,tingkat,
797,kelak,
798,not,
799,rubah,
800,kafir,
801,nemu,
802,duka,
803,bule,
804,karya,
805,tiada,
806,dki,
807,berfikir,
808,imam,
809,smua,
810,th,
811,tumbuh,
812,bnyk,
813,krna,
814,putri,
815,surat,
816,mie,
817,normal,
818,langgar,
819,mak,
820,laksana,
821,driver,
822,dewasa,
823,kumpul,
824,mikirin,
825,kah,
826,but,
827,muslim,
828,lumayan,
829,ilang,
830,lingkung,
831,c,
832,kalimat,
833,please,
834,internet,
835,korea,
836,layak,
837,album,
838,solo,
839,bangkit,
840,nge,
841,giat,
842,ayo,
843,gempa,
844,sejati,
845,pilpres,
846,panik,
847,hormat,
848,miskin,
849,khusus,
850,galau,
851,fakta,
852,rb,
853,dri,
854,proses,
855,jenis,
856,tetangga,
857,ok,
858,fans,
859,modal,
860,amal,
861,blg,
862,jantung,
863,tmn,
864,dear,
865,juni,
866,hotel,
867,bupati,
868,pura,
869,order,
870,sederhana,
871,cuci,
872,e,
873,bijak,
874,gtu,
875,day,
876,langit,
877,super,
878,ragu,
879,gaya,
880,miss,
881,tokoh,
882,hamil,
883,murah,
884,kasar,
885,nyokap,
886,gapapa,
887,tanggal,
888,malas,
889,kenang,
890,gaji,
891,usia,
892,inspirasi,
893,hahahaha,
894,was,
895,jawa,
896,langkah,
897,kejar,
898,lelaki,
899,jalur,
900,om,
901,manja,
902,parno,
903,hujat,
904,kecuali,
905,segitu,
906,netizen,
907,ketua,
908,tamu,
909,update,
910,sebel,
911,elu,
912,lokasi,
913,sepatu,
914,miris,
915,manfaat,
916,maki,
917,suci,
918,istirahat,
919,prof,
920,anti,
921,emosi,
922,digituin,
